Date,Temperature_C,Humidity_%,Speed_kmh,Pressure_hPa,Precip_Accum_mm,Wind,NO2,PM10,PM25,AQI,Dominant_pollutant
2022-07-28,27.25,54.22,5.18,1006.75,0.0,NNE,16.83,49.6,13.18,77.832,PM10
2022-07-29,27.66,58.21,1.6,1007.6,0.0,NE,28.55,55.9,15.13,66.584,PM10
2022-07-30,24.92,71.03,5.92,1012.17,12.97,NW,20.92,43.82,13.05,16.633200000000002,PM10
2022-07-31,26.24,62.18,2.22,1014.18,0.0,East,16.49,9.96,5.69,29.383999999999997,PM10
2022-08-01,26.92,58.95,1.43,1008.07,0.0,NE,23.43,17.74,6.34,47.544,PM10
2022-08-02,27.4,49.15,6.39,1015.66,0.0,East,34.06,29.09,7.74,42.856,PM10
2022-08-03,27.79,52.03,6.51,1012.33,0.0,ENE,13.19,26.16,7.53,57.5,PM10
2022-08-04,29.15,49.12,2.01,1008.05,0.0,NE,24.14,36.25,9.4,59.432,PM10
2022-08-05,28.12,55.48,1.36,1006.52,0.0,NE,33.47,37.86,9.93,48.136,PM10
2022-08-06,30.18,49.02,6.19,1005.62,0.0,NE,36.32,29.46,12.18,46.552,PM10
2022-08-07,27.69,54.72,5.28,1007.31,0.0,NNE,8.16,28.47,13.08,52.028,PM10
2022-08-08,27.89,54.86,4.64,1008.07,0.0,NNE,13.45,31.69,10.33,73.82,PM10
2022-08-09,26.25,52.06,6.92,1010.99,0.0,NNE,11.03,49.85,13.79,78.2112,PM10
2022-08-10,26.02,47.86,8.19,1011.31,0.0,NNW,6.4,56.69,14.39,80.2944,PM10
2022-08-11,26.88,38.54,6.42,1009.55,0.0,North,6.72,61.03,18.02,87.0528,PM10
2022-08-12,25.88,39.62,5.45,1006.91,0.0,NNE,14.65,75.11,15.26,76.5024,PM10
2022-08-13,23.85,48.71,4.75,1005.17,0.0,NNE,9.3,53.13,13.64,43.368,PM10
2022-08-14,23.86,59.78,2.78,1003.37,0.0,NE,15.83,26.48,7.7,28.264,PM10
2022-08-15,23.94,74.64,6.11,1001.14,0.0,SSE,11.06,17.04,7.57,24.248399999999997,PM10
2022-08-16,24.34,85.23,5.92,1003.78,16.07,SE,11.93,14.52,8.34,45.336,PM10
2022-08-17,24.84,89.22,4.99,1006.32,0.0,SE,10.01,27.71,12.61,80.92320000000001,PM10
2022-08-18,25.66,76.02,4.06,1004.11,0.0,NE,21.08,62.34,16.62,72.92,PM10
2022-08-19,24.24,76.7,6.43,1001.93,7.24,NW,18.47,49.1,14.17,20.4074,PM10
2022-08-20,24.09,74.09,4.1,1003.93,0.0,NNW,17.8,12.22,5.4,18.8543,PM10
2022-08-21,24.76,61.61,1.86,1003.96,0.0,NNE,24.01,11.29,4.57,19.822899999999997,PM10
2022-08-22,23.1,63.14,3.43,1002.78,0.26,NE,29.52,11.87,3.64,32.424,PM10
2022-08-23,22.81,66.02,4.65,1005.53,0.25,NNE,15.08,19.64,5.07,59.552,PM10
2022-08-24,23.85,65.3,5.35,1008.2,0.0,NNW,14.05,37.96,6.75,80.1888,PM10
2022-08-25,25.5,64.0,5.24,1006.53,0.0,NNW,24.92,60.81,13.09,62.636,PM10
2022-08-26,26.24,63.27,2.7,1003.49,0.0,NNE,19.76,40.53,14.38,62.624,PM10
2022-08-27,25.0,79.45,2.38,1004.05,0.0,SE,16.89,40.52,18.45,55.256,PM10
2022-08-28,23.89,84.27,3.33,1006.78,0.0,NNE,11.54,34.38,14.11,53.516,PM10
2022-08-29,24.54,76.01,2.0,1009.34,0.0,NNE,27.14,32.93,10.4,52.22,PM10
2022-08-30,25.36,64.98,3.29,1009.79,0.0,NNE,20.42,31.85,9.4,47.016000000000005,PM10
2022-08-31,25.09,68.51,1.6,1006.89,0.0,NE,21.33,28.76,8.78,57.356,PM10
2022-09-01,21.81,66.64,6.44,1006.06,0.0,NNE,12.06,36.13,9.75,68.06,PM10
2022-09-02,21.66,59.3,3.71,1008.05,0.0,NNE,15.34,45.05,9.62,53.275999999999996,PM10
2022-09-03,20.78,68.6,3.22,1009.07,0.0,SE,6.21,32.73,7.72,30.04,PM10
2022-09-04,22.47,82.49,3.18,1012.22,1.23,NE,6.2,18.15,5.16,24.7327,PM10
2022-09-05,23.4,72.75,1.13,1014.61,0.0,NE,27.89,14.81,6.84,37.368,PM10
2022-09-06,22.94,75.81,1.38,1012.09,0.0,NNE,17.4,22.73,8.54,54.32,PM10
2022-09-07,23.26,77.59,4.08,1009.59,0.61,SE,11.57,33.6,9.07,55.592,PM10
2022-09-08,24.21,82.48,8.31,1005.85,0.31,SSE,3.57,34.66,10.08,41.112,PM10
2022-09-09,23.39,87.56,6.22,1005.44,0.0,SE,8.05,25.07,9.86,20.941799999999997,PM10
2022-09-10,22.04,78.29,2.45,1006.49,0.71,NNE,16.06,12.54,6.02,12.358,PM10
2022-09-11,20.89,72.13,4.11,1007.75,0.59,NNE,11.48,7.4,3.74,10.1703,PM10
2022-09-12,21.03,65.09,2.63,1008.97,0.0,NNE,19.0,6.09,1.87,14.863,PM10
2022-09-13,20.59,75.82,2.73,1007.54,0.0,NNE,13.35,8.9,2.21,13.827599999999999,PM10
2022-09-14,23.85,82.5,6.67,1005.65,0.03,SSE,3.05,8.28,2.77,26.968,PM10
2022-09-15,24.63,84.23,7.63,1001.44,1.39,SSE,3.18,16.23,7.7,42.36,PM10
2022-09-16,25.39,77.41,5.62,997.76,0.0,SSE,4.64,25.85,12.2,22.444799999999997,PM10
2022-09-17,14.21,82.44,10.28,998.34,12.58,NNW,11.48,13.44,6.23,6.2291,PM10
2022-09-18,17.1,69.02,2.73,1007.37,0.0,East,6.14,3.73,1.61,12.8089,PM10
2022-09-19,20.55,60.4,4.36,1005.8,0.0,NE,20.2,7.67,2.62,16.950499999999998,PM10
2022-09-20,18.39,51.42,3.54,1010.5,0.0,NNE,17.72,10.15,2.66,16.8336,PM10
2022-09-21,16.81,50.25,6.89,1014.63,0.0,NNE,7.15,10.08,2.15,18.420099999999998,PM10
2022-09-22,13.96,58.15,3.08,1014.1,0.0,NNW,13.96,11.03,2.77,17.034,PM10
2022-09-23,15.18,60.55,2.38,1013.58,0.0,NNE,18.71,10.2,3.37,13.560399999999998,PM10
2022-09-24,16.68,75.05,6.38,1010.7,0.7,SSE,6.07,8.12,3.7,14.1616,PM10
2022-09-25,19.17,81.95,12.09,1005.34,2.58,SSE,2.55,8.48,4.6,16.0988,PM10
2022-09-26,19.17,86.27,2.02,1000.45,0.68,East,20.04,9.64,6.11,16.7334,PM10
2022-09-27,20.66,70.09,2.65,993.77,0.0,East,5.67,10.02,6.24,16.2825,PM10
2022-09-28,18.77,77.13,8.23,994.5,0.04,SSE,5.6,9.75,4.38,17.601799999999997,PM10
2022-09-29,20.61,75.14,6.83,993.95,0.26,SSE,3.32,10.54,5.31,12.358,PM10
2022-09-30,18.67,84.38,4.85,1002.26,2.82,SE,6.14,7.4,3.39,11.4729,PM10
2022-10-01,17.81,89.03,1.7,1008.42,0.2,NE,10.8,6.87,3.47,13.410099999999998,PM10
2022-10-02,18.15,85.33,2.75,1012.38,0.0,SE,4.06,8.03,4.47,14.1783,PM10
2022-10-03,19.1,76.59,3.01,1011.95,0.0,NNE,12.64,8.49,4.21,13.6272,PM10
2022-10-04,17.41,72.25,2.88,1016.03,0.0,NNE,17.34,8.16,4.01,14.7294,PM10
2022-10-05,,,,,,,16.95,8.82,4.02,18.1529,PM10
2022-10-06,17.23,83.61,2.0,1020.7,0.0,NE,23.15,10.87,5.26,25.352,PM10
2022-10-07,18.23,76.91,0.8,1016.94,0.0,NE,22.07,15.22,7.3,29.0,PM10
2022-10-08,16.38,84.73,1.33,1013.08,0.0,NE,12.08,17.5,7.89,27.96,PM10
2022-10-09,18.11,69.95,10.75,1023.3,0.0,East,8.69,16.85,9.64,37.0,PM10
2022-10-10,17.95,69.1,2.91,1015.39,0.0,NE,22.29,22.5,11.9,43.848,PM10
2022-10-11,17.65,76.85,1.84,1013.94,0.0,NE,22.81,26.78,17.15,47.72,PM10
2022-10-12,17.59,69.14,3.56,1014.8,0.0,NNE,22.99,29.2,15.22,54.74,PM10
2022-10-13,17.04,73.38,2.21,1013.12,0.0,NE,15.69,33.95,20.52,69.632,PM25
2022-10-14,16.82,72.47,2.19,1009.91,0.0,NE,28.2,39.31,28.18,71.91199999999999,PM25
2022-10-15,16.28,77.96,0.77,1010.11,0.0,NE,9.6,40.19,29.13,56.984,PM10
2022-10-16,16.52,84.84,0.78,1016.29,0.0,NE,5.36,35.82,19.17,62.72,PM25
2022-10-17,16.85,84.57,2.64,1021.31,0.0,NE,20.32,37.37,25.3,84.47200000000001,PM25
2022-10-18,17.24,91.08,0.64,1019.45,0.0,NE,19.94,49.29,41.84,79.664,PM25
2022-10-19,19.03,75.12,2.68,1014.59,0.0,NNE,23.46,46.27,35.83,46.983999999999995,PM10
2022-10-20,18.69,70.31,3.36,1015.12,0.0,NE,22.6,28.74,15.31,29.592000000000002,PM10
2022-10-21,17.74,84.1,7.14,1014.02,0.0,SSE,8.91,17.87,10.73,23.296499999999998,PM10
2022-10-22,20.07,88.59,11.84,1012.87,0.75,SSE,3.88,13.95,9.24,39.096,PM10
2022-10-23,20.04,92.39,7.32,1015.72,0.0,SSE,6.07,23.81,15.43,40.864,PM25
2022-10-24,19.86,88.95,8.4,1014.06,0.0,SSE,3.94,24.78,16.61,43.576,PM10
2022-10-25,19.17,93.07,6.04,1013.06,0.0,SSE,5.85,26.61,16.65,44.072,PM10
2022-10-26,17.71,92.1,0.53,1015.57,0.0,NE,28.86,26.92,15.9,45.208,PM10
2022-10-27,17.14,89.25,0.91,1019.87,0.0,NE,25.73,27.63,15.78,38.856,PM10
2022-10-28,16.97,90.11,0.94,1020.45,0.2,NE,23.98,23.66,14.54,34.839999999999996,PM10
2022-10-29,16.89,87.97,1.73,1018.49,0.0,NE,23.35,21.15,13.69,54.032,PM25
2022-10-30,16.65,88.38,1.13,1015.57,0.16,NE,30.77,30.04,21.68,54.056000000000004,PM25
2022-10-31,16.91,87.68,0.32,1015.25,0.0,NE,36.09,32.47,21.69,70.256,PM25
2022-11-01,15.23,96.07,0.6,1016.05,0.21,NE,10.77,37.5,28.44,78.576,PM25
2022-11-02,16.35,89.73,0.87,1016.65,0.21,NE,23.82,43.38,34.47,51.752,PM25
2022-11-03,16.54,87.25,1.45,1012.39,0.0,NE,21.38,30.93,20.73,34.232,PM10
2022-11-04,17.03,83.88,9.76,998.97,5.68,SSE,9.38,20.77,13.21,14.946499999999999,PM10
2022-11-05,14.59,61.84,6.27,1003.35,0.0,NNE,5.07,8.95,4.41,6.980599999999999,PM10
2022-11-06,12.0,66.02,4.82,1010.06,0.0,NNW,6.34,4.18,2.45,15.2638,PM10
2022-11-07,11.72,73.81,3.19,1013.64,0.0,NE,24.43,9.14,6.01,30.952,PM25
2022-11-08,12.22,79.9,0.38,1015.0,0.0,NE,43.73,16.65,12.48,43.936,PM25
2022-11-09,16.01,85.8,3.78,1013.65,0.0,SSE,8.29,21.44,17.89,15.925,PM25
2022-11-10,16.08,85.75,4.85,1018.26,2.94,SSE,10.49,9.28,6.37,11.1055,PM10
2022-11-11,14.36,68.29,3.52,1025.39,0.0,NNW,9.05,6.65,4.07,19.285,NO2
2022-11-12,13.76,63.16,2.59,1022.33,0.0,NE,38.57,7.28,4.27,19.35,PM25
2022-11-13,13.32,71.63,7.41,1018.02,0.7,NNE,3.79,10.54,7.74,18.875,PM25
2022-11-14,13.43,88.77,4.13,1014.65,1.45,SSE,25.4,9.88,7.55,23.675,PM25
2022-11-15,12.97,90.19,2.46,1010.11,1.75,NE,33.98,11.94,9.47,20.225,PM25
2022-11-16,14.88,95.02,6.74,997.36,5.21,SSE,15.54,10.43,8.09,20.35,PM25
2022-11-17,13.95,92.83,1.11,996.17,0.96,NE,7.77,10.87,8.14,18.85,PM25
2022-11-18,14.48,89.81,3.54,993.52,5.04,NE,10.68,11.04,7.54,15.125,PM25
2022-11-19,10.3,92.91,5.27,998.88,8.75,NE,5.49,8.8,6.05,5.685,NO2
2022-11-20,8.76,77.24,10.13,1002.08,5.09,NNW,11.37,3.11,1.61,14.846300000000001,PM10
2022-11-21,10.02,74.43,3.29,1001.79,0.0,NE,26.66,8.89,4.4,17.7688,PM10
2022-11-22,12.73,86.58,18.08,986.17,12.36,SSE,5.12,10.64,6.11,11.5898,PM10
2022-11-23,8.78,78.02,3.52,996.05,0.21,NNE,20.89,6.94,3.29,13.510299999999999,PM10
2022-11-24,9.79,87.74,1.72,1006.65,0.0,NE,21.53,8.09,4.92,18.425,PM25
2022-11-25,12.25,85.75,3.7,1012.79,0.0,NE,19.75,8.99,7.37,13.725000000000001,PM25
2022-11-26,12.01,68.94,7.55,1017.75,0.0,NNW,4.54,7.66,5.49,10.9,PM25
2022-11-27,9.98,62.99,6.38,1019.59,0.0,NNW,4.89,5.95,4.36,17.849999999999998,PM25
2022-11-28,8.13,73.33,1.85,1012.69,0.0,NNE,21.67,10.12,7.14,36.232,PM10
2022-11-29,8.31,68.69,4.84,1009.88,0.0,NNE,16.55,22.02,12.4,31.624000000000002,PM10
2022-11-30,7.9,67.83,6.02,1010.33,0.0,NNE,15.27,19.14,10.04,17.317899999999998,PM10
2022-12-01,8.24,71.77,6.43,1010.7,0.02,NNW,11.07,10.37,4.02,9.402099999999999,PM10
2022-12-02,8.92,83.16,3.59,1012.51,0.83,NNE,10.64,5.63,2.34,11.325000000000001,PM25
2022-12-03,10.67,92.55,5.06,1010.95,5.95,NNE,5.21,5.69,4.53,12.2,PM25
2022-12-04,13.89,86.42,8.07,1008.36,18.78,SSE,5.52,7.21,4.88,19.6726,PM10
2022-12-05,13.53,89.47,5.23,1011.84,1.17,SSE,5.31,11.78,6.65,27.736,PM25
2022-12-06,10.94,91.72,0.87,1009.23,1.44,NE,20.97,16.61,11.14,48.592,PM25
2022-12-07,10.43,88.42,0.87,1006.03,0.0,NNE,20.83,23.67,19.83,25.024,PM25
2022-12-08,9.7,91.34,0.63,1004.59,1.69,NE,29.86,13.81,10.01,29.32,PM25
2022-12-09,13.9,92.71,7.88,996.93,19.54,SSE,12.01,16.7,11.8,29.639999999999997,PM10
2022-12-10,10.45,97.61,2.11,991.33,25.5,NNE,16.14,17.9,11.91,9.375,PM25
2022-12-11,7.16,78.6,8.05,993.55,3.07,East,7.6,5.31,3.75,11.72,NO2
2022-12-12,3.31,68.37,3.8,1003.17,0.0,NNW,23.44,6.73,4.36,19.2384,PM10
